Time	   Frame       x-pixel	  y-pixel
181.000000 2715.000000 917.000000 808.000000
181.066667 2716.000000 914.000000 806.000000
181.133333 2717.000000 912.000000 804.000000
181.200000 2718.000000 907.000000 801.000000
181.266667 2719.000000 903.000000 797.000000
181.333333 2720.000000 898.000000 792.000000
181.400000 2721.000000 890.000000 790.000000
181.466667 2722.000000 884.000000 788.000000
181.533333 2723.000000 879.000000 789.000000
181.600000 2724.000000 875.000000 789.000000
181.666667 2725.000000 871.000000 789.000000
181.733333 2726.000000 867.000000 793.000000
181.800000 2727.000000 862.000000 799.000000
181.866667 2728.000000 855.000000 802.000000
181.933333 2729.000000 847.000000 811.000000
182.000000 2730.000000 839.000000 817.000000
182.066667 2731.000000 831.000000 827.000000
182.133333 2732.000000 824.000000 837.000000
182.200000 2733.000000 821.000000 845.000000
182.266667 2734.000000 820.000000 854.000000
182.333333 2735.000000 815.000000 865.000000
182.400000 2736.000000 810.000000 874.000000
182.466667 2737.000000 805.000000 885.000000
182.533333 2738.000000 800.000000 896.000000
182.600000 2739.000000 796.000000 907.000000
182.666667 2740.000000 796.000000 917.000000
182.733333 2741.000000 798.000000 928.000000
182.800000 2742.000000 797.000000 935.000000
182.866667 2743.000000 795.000000 943.000000
182.933333 2744.000000 791.000000 952.000000
183.000000 2745.000000 789.000000 962.000000
183.066667 2746.000000 789.000000 971.000000
183.133333 2747.000000 792.000000 979.000000
183.200000 2748.000000 797.000000 986.000000
183.266667 2749.000000 799.000000 993.000000
183.333333 2750.000000 800.000000 999.000000
183.400000 2751.000000 801.000000 1006.000000
183.466667 2752.000000 802.000000 1014.000000
183.533333 2753.000000 803.000000 1019.000000
183.600000 2754.000000 805.000000 1023.000000
183.666667 2755.000000 809.000000 1025.000000
183.733333 2756.000000 811.000000 1027.000000
183.800000 2757.000000 814.000000 1027.000000
183.866667 2758.000000 813.000000 1028.000000
183.933333 2759.000000 813.000000 1030.000000
184.000000 2760.000000 815.000000 1028.000000
184.066667 2761.000000 819.000000 1026.000000
184.133333 2762.000000 825.000000 1022.000000
184.200000 2763.000000 828.000000 1020.000000
184.266667 2764.000000 832.000000 1016.000000
184.333333 2765.000000 835.000000 1015.000000
184.400000 2766.000000 838.000000 1014.000000
184.466667 2767.000000 839.000000 1011.000000
184.533333 2768.000000 846.000000 1007.000000
184.600000 2769.000000 852.000000 1004.000000
184.666667 2770.000000 854.000000 1002.000000
184.733333 2771.000000 855.000000 997.000000
184.800000 2772.000000 855.000000 995.000000
184.866667 2773.000000 855.000000 995.000000
184.933333 2774.000000 855.000000 993.000000
185.000000 2775.000000 856.000000 992.000000
185.066667 2776.000000 858.000000 992.000000
185.133333 2777.000000 859.000000 995.000000
185.200000 2778.000000 858.000000 996.000000
185.266667 2779.000000 857.000000 1003.000000
185.333333 2780.000000 851.000000 1009.000000
185.400000 2781.000000 848.000000 1016.000000
185.466667 2782.000000 841.000000 1025.000000
185.533333 2783.000000 836.000000 1032.000000
185.600000 2784.000000 828.000000 1038.000000
185.666667 2785.000000 821.000000 1044.000000
185.733333 2786.000000 811.000000 1049.000000
185.800000 2787.000000 800.000000 1055.000000
185.866667 2788.000000 790.000000 1059.000000
185.933333 2789.000000 783.000000 1059.000000
186.000000 2790.000000 778.000000 1059.000000
186.066667 2791.000000 772.000000 1059.000000
186.133333 2792.000000 762.000000 1056.000000
186.200000 2793.000000 754.000000 1057.000000
186.266667 2794.000000 740.000000 1056.000000
186.333333 2795.000000 728.000000 1054.000000
186.400000 2796.000000 720.000000 1051.000000
186.466667 2797.000000 713.000000 1049.000000
186.533333 2798.000000 704.000000 1046.000000
186.600000 2799.000000 696.000000 1045.000000
186.666667 2800.000000 687.000000 1041.000000
186.733333 2801.000000 676.000000 1038.000000
186.800000 2802.000000 666.000000 1036.000000
186.866667 2803.000000 660.000000 1033.000000
186.933333 2804.000000 654.000000 1030.000000
187.000000 2805.000000 650.000000 1027.000000
187.066667 2806.000000 651.000000 1026.000000
187.133333 2807.000000 652.000000 1026.000000
187.200000 2808.000000 650.000000 1025.000000
187.266667 2809.000000 650.000000 1022.000000
187.333333 2810.000000 650.000000 1024.000000
187.400000 2811.000000 647.000000 1026.000000
187.466667 2812.000000 644.000000 1028.000000
187.533333 2813.000000 642.000000 1030.000000
187.600000 2814.000000 639.000000 1033.000000
187.666667 2815.000000 636.000000 1038.000000
187.733333 2816.000000 631.000000 1043.000000
187.800000 2817.000000 628.000000 1050.000000
187.866667 2818.000000 622.000000 1055.000000
187.933333 2819.000000 616.000000 1061.000000
188.000000 2820.000000 614.000000 1068.000000
188.066667 2821.000000 606.000000 1072.000000
188.133333 2822.000000 597.000000 1077.000000
188.200000 2823.000000 582.000000 1084.000000
188.266667 2824.000000 561.000000 1087.000000
188.333333 2825.000000 545.000000 1093.000000
188.400000 2826.000000 526.000000 1095.000000
188.466667 2827.000000 505.000000 1098.000000
188.533333 2828.000000 485.000000 1101.000000
188.600000 2829.000000 461.000000 1104.000000
188.666667 2830.000000 434.000000 1106.000000
188.733333 2831.000000 403.000000 1108.000000
188.800000 2832.000000 370.000000 1108.000000
188.866667 2833.000000 336.000000 1110.000000
188.933333 2834.000000 300.000000 1111.000000
189.000000 2835.000000 260.000000 1113.000000
189.066667 2836.000000 210.000000 1113.000000
189.133333 2837.000000 175.000000 1117.000000
189.200000 2838.000000 120.000000 1113.000000
189.266667 2839.000000 65.000000 1117.000000
189.333333 2840.000000 13.000000 1117.000000
